order_item_id,order_id,inventory_id,quantity_ordered,unit_price_at_purchase,line_total
ITEM0000001,ORD0000307,INV000189,2,976.51,1953.02
ITEM0000002,ORD0000918,INV000169,4,144.35,577.4
ITEM0000003,ORD0000646,INV000232,1,1408.88,1408.88
ITEM0000004,ORD0000499,INV000079,3,1131.45,3394.35
ITEM0000005,ORD0000907,INV000037,1,303.36,303.36
ITEM0000006,ORD0000753,INV000083,4,1360.86,5443.44
ITEM0000007,ORD0000144,INV000400,2,263.12,526.24
ITEM0000008,ORD0000198,INV000161,1,178.3,178.3
ITEM0000009,ORD0000738,INV000208,1,1250.09,1250.09
ITEM0000010,ORD0000245,INV000259,5,511.7,2558.5
ITEM0000011,ORD0000399,INV000166,4,1321.87,5287.48
ITEM0000012,ORD0000812,INV000030,1,319.06,319.06
ITEM0000013,ORD0000659,INV000297,5,885.36,4426.8
ITEM0000014,ORD0000512,INV000081,3,48.39,145.17
ITEM0000015,ORD0000989,INV000318,5,1062.89,5314.45
ITEM0000016,ORD0000990,INV000060,4,74.09,296.36
ITEM0000017,ORD0000038,INV000148,1,661.53,661.53
ITEM0000018,ORD0000058,INV000280,3,1012.58,3037.74
ITEM0000019,ORD0000807,INV000445,3,546.97,1640.91
ITEM0000020,ORD0000416,INV000401,1,1216.72,1216.72
ITEM0000021,ORD0000217,INV000443,1,205.23,205.23
ITEM0000022,ORD0000470,INV000419,5,756.35,3781.75
ITEM0000023,ORD0000153,INV000381,5,1202.72,6013.6
ITEM0000024,ORD0000239,INV000491,5,629.74,3148.7
ITEM0000025,ORD0000038,INV000314,1,1364.03,1364.03
ITEM0000026,ORD0000501,INV000077,2,1357.73,2715.46
ITEM0000027,ORD0000483,INV000113,1,1081.51,1081.51
ITEM0000028,ORD0000047,INV000351,5,582.32,2911.6
ITEM0000029,ORD0000719,INV000002,2,870.87,1741.74
ITEM0000030,ORD0000015,INV000382,2,648.76,1297.52
ITEM0000031,ORD0000648,INV000034,2,1174.67,2349.34
ITEM0000032,ORD0000927,INV000051,1,833.85,833.85
ITEM0000033,ORD0000841,INV000197,3,266.73,800.19
ITEM0000034,ORD0000468,INV000420,1,260.94,260.94
ITEM0000035,ORD0000175,INV000103,5,955.2,4776.0
ITEM0000036,ORD0000066,INV000082,5,1261.56,6307.8
ITEM0000037,ORD0000117,INV000332,1,343.68,343.68
ITEM0000038,ORD0000610,INV000321,4,1184.89,4739.56
ITEM0000039,ORD0000226,INV000064,5,1168.74,5843.7
ITEM0000040,ORD0000824,INV000115,1,1190.43,1190.43
ITEM0000041,ORD0000437,INV000353,2,1188.11,2376.22
ITEM0000042,ORD0000831,INV000044,3,896.87,2690.61
ITEM0000043,ORD0000333,INV000449,4,1193.37,4773.48
ITEM0000044,ORD0001000,INV000450,1,1133.67,1133.67
ITEM0000045,ORD0000559,INV000353,5,1188.11,5940.55
ITEM0000046,ORD0000330,INV000204,2,1499.06,2998.12
ITEM0000047,ORD0000783,INV000031,2,1171.27,2342.54
ITEM0000048,ORD0000608,INV000054,1,433.94,433.94
ITEM0000049,ORD0000344,INV000392,2,909.62,1819.24
ITEM0000050,ORD0000124,INV000219,1,1451.07,1451.07
ITEM0000051,ORD0000145,INV000418,3,192.13,576.39
ITEM0000052,ORD0000173,INV000295,4,1248.88,4995.52
ITEM0000053,ORD0000567,INV000081,3,48.39,145.17
ITEM0000054,ORD0000450,INV000196,2,799.09,1598.18
ITEM0000055,ORD0000948,INV000284,2,792.77,1585.54
ITEM0000056,ORD0000042,INV000402,5,1065.76,5328.8
ITEM0000057,ORD0000103,INV000479,2,1386.39,2772.78
ITEM0000058,ORD0000386,INV000238,5,80.61,403.05
ITEM0000059,ORD0000017,INV000411,2,701.42,1402.84
ITEM0000060,ORD0000083,INV000179,4,520.96,2083.84
ITEM0000061,ORD0000008,INV000329,1,970.81,970.81
ITEM0000062,ORD0000949,INV000210,2,933.23,1866.46
ITEM0000063,ORD0000724,INV000030,1,319.06,319.06
ITEM0000064,ORD0000909,INV000200,5,1001.93,5009.65
ITEM0000065,ORD0000427,INV000384,3,463.21,1389.63
ITEM0000066,ORD0000709,INV000326,4,894.59,3578.36
ITEM0000067,ORD0000212,INV000265,2,1006.67,2013.34
ITEM0000068,ORD0000656,INV000315,2,909.48,1818.96
ITEM0000069,ORD0000536,INV000200,3,1001.93,3005.79
ITEM0000070,ORD0000422,INV000395,4,378.17,1512.68
ITEM0000071,ORD0000961,INV000498,2,412.89,825.78
ITEM0000072,ORD0000626,INV000286,2,310.61,621.22
ITEM0000073,ORD0000611,INV000249,1,1092.23,1092.23
ITEM0000074,ORD0000735,INV000479,2,1386.39,2772.78
ITEM0000075,ORD0000627,INV000025,4,246.57,986.28
ITEM0000076,ORD0000643,INV000384,1,463.21,463.21
ITEM0000077,ORD0000357,INV000486,3,12.75,38.25
ITEM0000078,ORD0000005,INV000120,4,349.65,1398.6
ITEM0000079,ORD0000242,INV000444,5,552.08,2760.4
ITEM0000080,ORD0000121,INV000463,2,225.92,451.84
ITEM0000081,ORD0000098,INV000184,5,1447.41,7237.05
ITEM0000082,ORD0000371,INV000496,5,1483.7,7418.5
ITEM0000083,ORD0000520,INV000276,5,1120.44,5602.2
ITEM0000084,ORD0000476,INV000133,2,228.05,456.1
ITEM0000085,ORD0000284,INV000170,2,1420.86,2841.72
ITEM0000086,ORD0000199,INV000279,1,1325.6,1325.6
ITEM0000087,ORD0000816,INV000117,1,712.52,712.52
ITEM0000088,ORD0000702,INV000348,2,142.11,284.22
ITEM0000089,ORD0000510,INV000080,4,734.9,2939.6
ITEM0000090,ORD0000164,INV000480,2,324.91,649.82
ITEM0000091,ORD0000056,INV000119,1,1055.77,1055.77
ITEM0000092,ORD0000292,INV000135,3,911.44,2734.32
ITEM0000093,ORD0000446,INV000280,2,1012.58,2025.16
ITEM0000094,ORD0000343,INV000226,3,213.97,641.91
ITEM0000095,ORD0000825,INV000427,5,683.05,3415.25
ITEM0000096,ORD0000045,INV000081,4,48.39,193.56
ITEM0000097,ORD0000759,INV000128,1,1309.72,1309.72
ITEM0000098,ORD0000948,INV000010,1,402.09,402.09
ITEM0000099,ORD0000181,INV000366,5,1183.84,5919.2
ITEM0000100,ORD0000805,INV000437,2,1145.87,2291.74
ITEM0000101,ORD0000497,INV000039,1,40.38,40.38
ITEM0000102,ORD0000119,INV000384,5,463.21,2316.05
ITEM0000103,ORD0000917,INV000428,1,662.21,662.21
ITEM0000104,ORD0000739,INV000097,2,1412.5,2825.0
ITEM0000105,ORD0000607,INV000395,4,378.17,1512.68
ITEM0000106,ORD0000334,INV000276,5,1120.44,5602.2
ITEM0000107,ORD0000204,INV000444,4,552.08,2208.32
ITEM0000108,ORD0000236,INV000314,3,1364.03,4092.09
ITEM0000109,ORD0000334,INV000273,1,274.72,274.72
ITEM0000110,ORD0000101,INV000490,2,805.05,1610.1
ITEM0000111,ORD0000756,INV000214,2,1122.48,2244.96
ITEM0000112,ORD0000891,INV000382,4,648.76,2595.04
ITEM0000113,ORD0000385,INV000309,2,1195.51,2391.02
ITEM0000114,ORD0000076,INV000092,2,361.62,723.24
ITEM0000115,ORD0000600,INV000217,4,1121.11,4484.44
ITEM0000116,ORD0000056,INV000179,4,520.96,2083.84
ITEM0000117,ORD0000149,INV000347,4,676.73,2706.92
ITEM0000118,ORD0000951,INV000322,2,497.89,995.78
ITEM0000119,ORD0000466,INV000382,5,648.76,3243.8
ITEM0000120,ORD0000397,INV000416,2,1421.49,2842.98
ITEM0000121,ORD0000140,INV000485,3,498.79,1496.37
ITEM0000122,ORD0000738,INV000312,4,968.78,3875.12
ITEM0000123,ORD0000648,INV000381,2,1202.72,2405.44
ITEM0000124,ORD0000999,INV000285,3,595.92,1787.76
ITEM0000125,ORD0000208,INV000083,3,1360.86,4082.58
ITEM0000126,ORD0000131,INV000227,3,1493.91,4481.73
ITEM0000127,ORD0000709,INV000298,1,1306.43,1306.43
ITEM0000128,ORD0000062,INV000488,5,977.56,4887.8
ITEM0000129,ORD0000140,INV000248,3,680.75,2042.25
ITEM0000130,ORD0000873,INV000105,1,925.79,925.79
ITEM0000131,ORD0000470,INV000409,4,1154.9,4619.6
ITEM0000132,ORD0000176,INV000271,4,1268.51,5074.04
ITEM0000133,ORD0000226,INV000400,3,263.12,789.36
ITEM0000134,ORD0000619,INV000070,3,1128.91,3386.73
ITEM0000135,ORD0000809,INV000172,2,626.16,1252.32
ITEM0000136,ORD0000928,INV000171,5,1399.32,6996.6
ITEM0000137,ORD0000592,INV000250,2,689.77,1379.54
ITEM0000138,ORD0000876,INV000212,5,1183.97,5919.85
ITEM0000139,ORD0000089,INV000165,2,404.25,808.5
ITEM0000140,ORD0000878,INV000168,4,469.57,1878.28
ITEM0000141,ORD0000501,INV000303,5,905.59,4527.95
ITEM0000142,ORD0000606,INV000256,2,683.3,1366.6
ITEM0000143,ORD0000858,INV000291,4,33.02,132.08
ITEM0000144,ORD0000286,INV000271,4,1268.51,5074.04
ITEM0000145,ORD0000748,INV000492,1,1495.77,1495.77
ITEM0000146,ORD0000754,INV000270,4,1145.1,4580.4
ITEM0000147,ORD0000254,INV000385,2,1036.2,2072.4
ITEM0000148,ORD0000445,INV000415,3,251.16,753.48
ITEM0000149,ORD0000228,INV000208,5,1250.09,6250.45
ITEM0000150,ORD0000969,INV000266,5,1302.8,6514.0
ITEM0000151,ORD0000936,INV000448,2,197.35,394.7
ITEM0000152,ORD0000920,INV000137,5,449.54,2247.7
ITEM0000153,ORD0000428,INV000436,1,1400.96,1400.96
ITEM0000154,ORD0000042,INV000278,1,1083.79,1083.79
ITEM0000155,ORD0000752,INV000369,4,1246.42,4985.68
ITEM0000156,ORD0000035,INV000495,5,1393.04,6965.2
ITEM0000157,ORD0000544,INV000419,4,756.35,3025.4
ITEM0000158,ORD0000491,INV000498,4,412.89,1651.56
ITEM0000159,ORD0000464,INV000150,1,659.45,659.45
ITEM0000160,ORD0000247,INV000214,4,1122.48,4489.92
ITEM0000161,ORD0000572,INV000188,1,706.89,706.89
ITEM0000162,ORD0000710,INV000124,1,345.09,345.09
ITEM0000163,ORD0000973,INV000295,4,1248.88,4995.52
ITEM0000164,ORD0000136,INV000404,2,1191.58,2383.16
ITEM0000165,ORD0000303,INV000042,3,1409.16,4227.48
ITEM0000166,ORD0000664,INV000268,2,236.32,472.64
ITEM0000167,ORD0000017,INV000075,1,101.02,101.02
