inventory_id,product_name,product_category,unit_price,quantity_on_hand,distribution_center_id
INV000001,Product 1,Automotive,236.42,161,DC0004
INV000002,Product 2,Appliances,870.87,287,DC0001
INV000003,Product 3,Grocery,90.46,309,DC0008
INV000004,Product 4,Home Goods,90.03,270,DC0002
INV000005,Product 5,Home Goods,107.44,44,DC0004
INV000006,Product 6,Clothing,184.23,465,DC0010
INV000007,Product 7,Hardware,870.48,30,DC0010
INV000008,Product 8,Electronics,631.74,308,DC0010
INV000009,Product 9,Grocery,1402.39,114,DC0006
INV000010,Product 10,Hardware,402.09,77,DC0005
INV000011,Product 11,Automotive,477.68,394,DC0002
INV000012,Product 12,Appliances,690.14,298,DC0002
INV000013,Product 13,Electronics,808.76,269,DC0005
INV000014,Product 14,Home Goods,1400.22,461,DC0002
INV000015,Product 15,Hardware,557.44,90,DC0008
INV000016,Product 16,Outdoor,919.46,423,DC0009
INV000017,Product 17,Appliances,1003.46,293,DC0005
INV000018,Product 18,Electronics,1408.7,78,DC0005
INV000019,Product 19,Electronics,1335.12,390,DC0009
INV000020,Product 20,Home Goods,412.16,319,DC0004
INV000021,Product 21,Grocery,309.38,334,DC0005
INV000022,Product 22,Automotive,380.43,474,DC0001
INV000023,Product 23,Electronics,953.26,434,DC0005
INV000024,Product 24,Appliances,10.3,404,DC0003
INV000025,Product 25,Outdoor,246.57,236,DC0009
INV000026,Product 26,Clothing,843.56,67,DC0002
INV000027,Product 27,Home Goods,820.66,437,DC0006
INV000028,Product 28,Home Goods,647.53,31,DC0005
INV000029,Product 29,Grocery,1348.98,417,DC0001
INV000030,Product 30,Grocery,319.06,137,DC0002
INV000031,Product 31,Grocery,1171.27,462,DC0007
INV000032,Product 32,Home Goods,1389.02,131,DC0003
INV000033,Product 33,Home Goods,1322.72,22,DC0003
INV000034,Product 34,Grocery,1174.67,220,DC0004
INV000035,Product 35,Outdoor,243.0,369,DC0002
INV000036,Product 36,Clothing,1308.89,449,DC0008
INV000037,Product 37,Hardware,303.36,480,DC0008
INV000038,Product 38,Grocery,461.26,417,DC0004
INV000039,Product 39,Hardware,40.38,108,DC0007
INV000040,Product 40,Grocery,421.51,45,DC0005
INV000041,Product 41,Grocery,964.02,214,DC0009
INV000042,Product 42,Grocery,1409.16,69,DC0005
INV000043,Product 43,Home Goods,872.98,145,DC0001
INV000044,Product 44,Electronics,896.87,186,DC0006
INV000045,Product 45,Clothing,911.28,271,DC0002
INV000046,Product 46,Clothing,1349.76,107,DC0005
INV000047,Product 47,Appliances,1064.63,10,DC0009
INV000048,Product 48,Hardware,549.51,45,DC0006
INV000049,Product 49,Grocery,996.76,73,DC0005
INV000050,Product 50,Outdoor,1002.0,177,DC0007
INV000051,Product 51,Outdoor,833.85,108,DC0007
INV000052,Product 52,Clothing,1017.59,472,DC0003
INV000053,Product 53,Outdoor,612.08,436,DC0001
INV000054,Product 54,Outdoor,433.94,230,DC0010
INV000055,Product 55,Grocery,700.16,236,DC0004
INV000056,Product 56,Automotive,1191.63,417,DC0003
INV000057,Product 57,Electronics,429.26,349,DC0010
INV000058,Product 58,Grocery,144.61,497,DC0004
INV000059,Product 59,Outdoor,340.84,111,DC0003
INV000060,Product 60,Appliances,74.09,253,DC0010
INV000061,Product 61,Electronics,685.85,463,DC0010
INV000062,Product 62,Hardware,1078.93,206,DC0008
INV000063,Product 63,Clothing,369.76,345,DC0001
INV000064,Product 64,Electronics,1168.74,122,DC0003
INV000065,Product 65,Automotive,80.08,137,DC0002
INV000066,Product 66,Automotive,204.34,247,DC0009
INV000067,Product 67,Grocery,1425.31,466,DC0008
INV000068,Product 68,Clothing,1246.7,290,DC0008
INV000069,Product 69,Home Goods,1116.76,253,DC0008
INV000070,Product 70,Outdoor,1128.91,440,DC0005
INV000071,Product 71,Automotive,941.99,150,DC0008
INV000072,Product 72,Electronics,1071.75,130,DC0005
INV000073,Product 73,Grocery,482.97,286,DC0002
INV000074,Product 74,Home Goods,230.49,206,DC0003
INV000075,Product 75,Hardware,101.02,218,DC0006
INV000076,Product 76,Automotive,626.58,115,DC0007
INV000077,Product 77,Clothing,1357.73,309,DC0001
INV000078,Product 78,Clothing,718.08,492,DC0006
INV000079,Product 79,Outdoor,1131.45,446,DC0007
INV000080,Product 80,Hardware,734.9,149,DC0007
INV000081,Product 81,Automotive,48.39,182,DC0007
INV000082,Product 82,Home Goods,1261.56,480,DC0003
INV000083,Product 83,Appliances,1360.86,313,DC0010
INV000084,Product 84,Appliances,130.5,229,DC0003
INV000085,Product 85,Automotive,276.68,143,DC0007
INV000086,Product 86,Grocery,321.43,177,DC0006
INV000087,Product 87,Clothing,420.99,497,DC0007
INV000088,Product 88,Outdoor,1253.19,250,DC0001
INV000089,Product 89,Appliances,1499.86,189,DC0004
INV000090,Product 90,Electronics,1172.94,343,DC0001
INV000091,Product 91,Appliances,1424.67,112,DC0001
INV000092,Product 92,Home Goods,361.62,252,DC0002
INV000093,Product 93,Hardware,700.23,141,DC0006
INV000094,Product 94,Home Goods,910.81,392,DC0002
INV000095,Product 95,Home Goods,1447.26,65,DC0010
INV000096,Product 96,Appliances,1393.69,304,DC0007
INV000097,Product 97,Clothing,1412.5,111,DC0002
INV000098,Product 98,Hardware,157.34,405,DC0005
INV000099,Product 99,Electronics,1195.36,299,DC0001
INV000100,Product 100,Grocery,801.45,348,DC0006
INV000101,Product 101,Electronics,761.41,184,DC0001
INV000102,Product 102,Clothing,1234.38,64,DC0007
INV000103,Product 103,Grocery,955.2,434,DC0008
INV000104,Product 104,Home Goods,656.05,385,DC0009
INV000105,Product 105,Outdoor,925.79,480,DC0009
INV000106,Product 106,Automotive,699.99,432,DC0010
INV000107,Product 107,Outdoor,486.85,135,DC0002
INV000108,Product 108,Outdoor,1323.04,134,DC0008
INV000109,Product 109,Clothing,507.91,263,DC0006
INV000110,Product 110,Home Goods,733.89,191,DC0005
INV000111,Product 111,Grocery,423.09,315,DC0005
INV000112,Product 112,Appliances,777.36,107,DC0002
INV000113,Product 113,Hardware,1081.51,260,DC0009
INV000114,Product 114,Hardware,1037.46,340,DC0008
INV000115,Product 115,Automotive,1190.43,57,DC0005
INV000116,Product 116,Hardware,609.58,134,DC0005
INV000117,Product 117,Grocery,712.52,281,DC0006
INV000118,Product 118,Clothing,1494.96,291,DC0006
INV000119,Product 119,Grocery,1055.77,148,DC0005
INV000120,Product 120,Outdoor,349.65,379,DC0004
INV000121,Product 121,Grocery,183.73,284,DC0003
INV000122,Product 122,Hardware,328.5,257,DC0005
INV000123,Product 123,Outdoor,1470.86,436,DC0004
INV000124,Product 124,Outdoor,345.09,101,DC0005
INV000125,Product 125,Appliances,1063.49,74,DC0005
INV000126,Product 126,Appliances,1461.57,293,DC0005
INV000127,Product 127,Home Goods,958.62,395,DC0008
INV000128,Product 128,Electronics,1309.72,303,DC0005
INV000129,Product 129,Automotive,720.68,184,DC0003
INV000130,Product 130,Appliances,382.46,451,DC0008
INV000131,Product 131,Electronics,1234.06,215,DC0008
INV000132,Product 132,Electronics,867.65,361,DC0001
INV000133,Product 133,Home Goods,228.05,298,DC0005
INV000134,Product 134,Electronics,1490.91,70,DC0009
INV000135,Product 135,Clothing,911.44,414,DC0010
INV000136,Product 136,Hardware,1164.66,204,DC0008
INV000137,Product 137,Automotive,449.54,311,DC0007
INV000138,Product 138,Outdoor,855.1,40,DC0010
INV000139,Product 139,Electronics,1421.65,116,DC0004
INV000140,Product 140,Outdoor,992.34,90,DC0004
INV000141,Product 141,Home Goods,830.23,90,DC0001
INV000142,Product 142,Clothing,678.5,314,DC0008
INV000143,Product 143,Outdoor,53.8,157,DC0005
INV000144,Product 144,Automotive,111.41,129,DC0005
INV000145,Product 145,Hardware,640.58,288,DC0004
INV000146,Product 146,Home Goods,1363.08,433,DC0003
INV000147,Product 147,Electronics,94.16,415,DC0005
INV000148,Product 148,Outdoor,661.53,249,DC0005
INV000149,Product 149,Clothing,1414.3,266,DC0009
INV000150,Product 150,Automotive,659.45,316,DC0001
INV000151,Product 151,Clothing,1103.13,319,DC0005
INV000152,Product 152,Appliances,141.53,355,DC0010
INV000153,Product 153,Appliances,1499.36,354,DC0005
INV000154,Product 154,Appliances,1145.85,99,DC0008
INV000155,Product 155,Automotive,1374.53,102,DC0010
INV000156,Product 156,Clothing,954.0,261,DC0002
INV000157,Product 157,Automotive,525.2,180,DC0006
INV000158,Product 158,Electronics,1287.31,178,DC0007
INV000159,Product 159,Automotive,435.89,493,DC0007
INV000160,Product 160,Appliances,684.96,171,DC0005
INV000161,Product 161,Grocery,178.3,405,DC0007
INV000162,Product 162,Appliances,988.2,287,DC0008
INV000163,Product 163,Clothing,86.04,275,DC0006
INV000164,Product 164,Automotive,939.99,399,DC0001
INV000165,Product 165,Hardware,404.25,77,DC0005
INV000166,Product 166,Automotive,1321.87,258,DC0002
INV000167,Product 167,Appliances,1459.85,321,DC0004
INV000168,Product 168,Home Goods,469.57,17,DC0009
INV000169,Product 169,Clothing,144.35,440,DC0002
INV000170,Product 170,Automotive,1420.86,341,DC0003
INV000171,Product 171,Automotive,1399.32,159,DC0009
INV000172,Product 172,Outdoor,626.16,257,DC0008
INV000173,Product 173,Hardware,687.9,84,DC0007
INV000174,Product 174,Hardware,1383.19,270,DC0003
INV000175,Product 175,Electronics,417.99,414,DC0007
INV000176,Product 176,Grocery,1401.7,269,DC0005
INV000177,Product 177,Appliances,427.84,162,DC0010
INV000178,Product 178,Automotive,1298.56,238,DC0009
INV000179,Product 179,Automotive,520.96,292,DC0009
INV000180,Product 180,Clothing,685.74,174,DC0004
INV000181,Product 181,Hardware,859.84,129,DC0007
INV000182,Product 182,Appliances,480.67,252,DC0007
INV000183,Product 183,Clothing,1482.68,415,DC0003
INV000184,Product 184,Automotive,1447.41,74,DC0009
INV000185,Product 185,Grocery,1305.2,457,DC0008
INV000186,Product 186,Electronics,791.3,243,DC0001
INV000187,Product 187,Home Goods,617.92,345,DC0003
INV000188,Product 188,Electronics,706.89,145,DC0006
INV000189,Product 189,Clothing,976.51,446,DC0006
INV000190,Product 190,Clothing,1431.44,330,DC0008
INV000191,Product 191,Appliances,928.1,130,DC0005
INV000192,Product 192,Hardware,1121.42,232,DC0002
INV000193,Product 193,Electronics,668.3,365,DC0005
INV000194,Product 194,Appliances,73.76,417,DC0001
INV000195,Product 195,Outdoor,540.9,230,DC0003
INV000196,Product 196,Hardware,799.09,299,DC0003
INV000197,Product 197,Home Goods,266.73,322,DC0007
INV000198,Product 198,Hardware,749.01,308,DC0003
INV000199,Product 199,Hardware,694.42,140,DC0008
INV000200,Product 200,Outdoor,1001.93,470,DC0008
INV000201,Product 201,Outdoor,1018.03,90,DC0002
INV000202,Product 202,Automotive,1418.13,310,DC0005
INV000203,Product 203,Clothing,1037.02,243,DC0005
INV000204,Product 204,Hardware,1499.06,446,DC0008
INV000205,Product 205,Electronics,359.62,302,DC0006
INV000206,Product 206,Outdoor,1489.07,161,DC0001
INV000207,Product 207,Clothing,415.35,299,DC0001
INV000208,Product 208,Automotive,1250.09,472,DC0005
INV000209,Product 209,Hardware,912.56,190,DC0004
INV000210,Product 210,Hardware,933.23,357,DC0003
INV000211,Product 211,Electronics,1355.59,340,DC0001
INV000212,Product 212,Outdoor,1183.97,27,DC0010
INV000213,Product 213,Grocery,1099.88,56,DC0005
INV000214,Product 214,Grocery,1122.48,99,DC0004
INV000215,Product 215,Home Goods,1180.84,458,DC0006
INV000216,Product 216,Outdoor,1246.56,141,DC0008
INV000217,Product 217,Outdoor,1121.11,183,DC0002
INV000218,Product 218,Automotive,1444.53,82,DC0004
INV000219,Product 219,Clothing,1451.07,421,DC0009
INV000220,Product 220,Grocery,140.0,212,DC0001
INV000221,Product 221,Outdoor,807.18,242,DC0006
INV000222,Product 222,Outdoor,878.92,431,DC0006
INV000223,Product 223,Electronics,1013.88,251,DC0001
INV000224,Product 224,Grocery,1373.31,123,DC0002
INV000225,Product 225,Automotive,1364.53,164,DC0007
INV000226,Product 226,Electronics,213.97,494,DC0001
